image,condition,distortion,detector,iou
GOPR0351_frame_000181_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3041
GOPR0351_frame_000181_rgb_anon.png,night,blurred,sobel_p75,0.4911
GOPR0351_frame_000181_rgb_anon.png,night,blurred,canny_proj3,0.2207
GOPR0351_frame_000181_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2388
GOPR0351_frame_000181_rgb_anon.png,night,lowcontrast,sobel_p75,0.7827
GOPR0351_frame_000181_rgb_anon.png,night,lowcontrast,canny_proj3,0.8929
GOPR0351_frame_000181_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8411
GOPR0351_frame_000183_rgb_anon.png,night,noisy,sobel_p75,0.2406
GOPR0351_frame_000183_rgb_anon.png,night,noisy,canny_proj3,0.1167
GOPR0351_frame_000183_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3295
GOPR0351_frame_000183_rgb_anon.png,night,blurred,sobel_p75,0.4987
GOPR0351_frame_000183_rgb_anon.png,night,blurred,canny_proj3,0.3111
GOPR0351_frame_000183_rgb_anon.png,night,blurred,canny_proj3_preblur,0.3252
GOPR0351_frame_000183_rgb_anon.png,night,lowcontrast,sobel_p75,0.7254
GOPR0351_frame_000183_rgb_anon.png,night,lowcontrast,canny_proj3,0.9082
GOPR0351_frame_000183_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8606
GOPR0351_frame_000185_rgb_anon.png,night,noisy,sobel_p75,0.2451
GOPR0351_frame_000185_rgb_anon.png,night,noisy,canny_proj3,0.1122
GOPR0351_frame_000185_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3094
GOPR0351_frame_000185_rgb_anon.png,night,blurred,sobel_p75,0.4783
GOPR0351_frame_000185_rgb_anon.png,night,blurred,canny_proj3,0.1974
GOPR0351_frame_000185_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2203
GOPR0351_frame_000185_rgb_anon.png,night,lowcontrast,sobel_p75,0.7293
GOPR0351_frame_000185_rgb_anon.png,night,lowcontrast,canny_proj3,0.9032
GOPR0351_frame_000185_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8503
GOPR0351_frame_000187_rgb_anon.png,night,noisy,sobel_p75,0.2331
GOPR0351_frame_000187_rgb_anon.png,night,noisy,canny_proj3,0.0930
GOPR0351_frame_000187_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2956
GOPR0351_frame_000187_rgb_anon.png,night,blurred,sobel_p75,0.4414
GOPR0351_frame_000187_rgb_anon.png,night,blurred,canny_proj3,0.1881
GOPR0351_frame_000187_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2065
GOPR0351_frame_000187_rgb_anon.png,night,lowcontrast,sobel_p75,0.7817
GOPR0351_frame_000187_rgb_anon.png,night,lowcontrast,canny_proj3,0.8723
GOPR0351_frame_000187_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8250
GOPR0351_frame_000191_rgb_anon.png,night,noisy,sobel_p75,0.2388
GOPR0351_frame_000191_rgb_anon.png,night,noisy,canny_proj3,0.0599
GOPR0351_frame_000191_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2946
GOPR0351_frame_000191_rgb_anon.png,night,blurred,sobel_p75,0.4854
GOPR0351_frame_000191_rgb_anon.png,night,blurred,canny_proj3,0.2397
GOPR0351_frame_000191_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2823
GOPR0351_frame_000191_rgb_anon.png,night,lowcontrast,sobel_p75,0.6668
GOPR0351_frame_000191_rgb_anon.png,night,lowcontrast,canny_proj3,0.8788
GOPR0351_frame_000191_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8266
GOPR0351_frame_000195_rgb_anon.png,night,noisy,sobel_p75,0.2215
GOPR0351_frame_000195_rgb_anon.png,night,noisy,canny_proj3,0.1521
GOPR0351_frame_000195_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3573
GOPR0351_frame_000195_rgb_anon.png,night,blurred,sobel_p75,0.4619
GOPR0351_frame_000195_rgb_anon.png,night,blurred,canny_proj3,0.3619
GOPR0351_frame_000195_rgb_anon.png,night,blurred,canny_proj3_preblur,0.3769
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,sobel_p75,0.7713
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,canny_proj3,0.9087
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8512
GOPR0351_frame_000198_rgb_anon.png,night,noisy,sobel_p75,0.2020
GOPR0351_frame_000198_rgb_anon.png,night,noisy,canny_proj3,0.0872
GOPR0351_frame_000198_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2179
GOPR0351_frame_000198_rgb_anon.png,night,blurred,sobel_p75,0.4775
GOPR0351_frame_000198_rgb_anon.png,night,blurred,canny_proj3,0.2748
GOPR0351_frame_000198_rgb_anon.png,night,blurred,canny_proj3_preblur,0.3003
GOPR0351_frame_000198_rgb_anon.png,night,lowcontrast,sobel_p75,0.7470
GOPR0351_frame_000198_rgb_anon.png,night,lowcontrast,canny_proj3,0.8795
GOPR0351_frame_000198_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8122
GOPR0351_frame_000200_rgb_anon.png,night,noisy,sobel_p75,0.2286
GOPR0351_frame_000200_rgb_anon.png,night,noisy,canny_proj3,0.0760
GOPR0351_frame_000200_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2871
GOPR0351_frame_000200_rgb_anon.png,night,blurred,sobel_p75,0.4631
GOPR0351_frame_000200_rgb_anon.png,night,blurred,canny_proj3,0.2098
GOPR0351_frame_000200_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2385
GOPR0351_frame_000200_rgb_anon.png,night,lowcontrast,sobel_p75,0.7438
GOPR0351_frame_000200_rgb_anon.png,night,lowcontrast,canny_proj3,0.8856
GOPR0351_frame_000200_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8480
