image,condition,distortion,detector,score_iou_or_ari
GOPR0351_frame_000167_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2239
GOPR0351_frame_000167_rgb_anon.png,night,blurred,texture_seg,0.8706
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,sobel_p75,0.6480
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,canny_proj3,0.8982
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8382
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,texture_seg,0.8212
GOPR0351_frame_000195_rgb_anon.png,night,noisy,sobel_p75,0.2210
GOPR0351_frame_000195_rgb_anon.png,night,noisy,canny_proj3,0.1274
GOPR0351_frame_000195_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3461
GOPR0351_frame_000195_rgb_anon.png,night,noisy,texture_seg,0.8122
GOPR0351_frame_000195_rgb_anon.png,night,blurred,sobel_p75,0.4619
GOPR0351_frame_000195_rgb_anon.png,night,blurred,canny_proj3,0.3619
GOPR0351_frame_000195_rgb_anon.png,night,blurred,canny_proj3_preblur,0.3769
GOPR0351_frame_000195_rgb_anon.png,night,blurred,texture_seg,0.8510
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,sobel_p75,0.7713
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,canny_proj3,0.9087
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8512
GOPR0351_frame_000195_rgb_anon.png,night,lowcontrast,texture_seg,0.7169
GOPR0351_frame_000573_rgb_anon.png,night,noisy,sobel_p75,0.2159
GOPR0351_frame_000573_rgb_anon.png,night,noisy,canny_proj3,0.0448
GOPR0351_frame_000573_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2122
GOPR0351_frame_000573_rgb_anon.png,night,noisy,texture_seg,0.7803
GOPR0351_frame_000573_rgb_anon.png,night,blurred,sobel_p75,0.3948
GOPR0351_frame_000573_rgb_anon.png,night,blurred,canny_proj3,0.2475
GOPR0351_frame_000573_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2601
GOPR0351_frame_000573_rgb_anon.png,night,blurred,texture_seg,0.5170
GOPR0351_frame_000573_rgb_anon.png,night,lowcontrast,sobel_p75,0.6336
GOPR0351_frame_000573_rgb_anon.png,night,lowcontrast,canny_proj3,0.8622
GOPR0351_frame_000573_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.7892
GOPR0351_frame_000573_rgb_anon.png,night,lowcontrast,texture_seg,0.9316
GOPR0376_frame_000089_rgb_anon.png,night,noisy,sobel_p75,0.2245
GOPR0376_frame_000089_rgb_anon.png,night,noisy,canny_proj3,0.0732
GOPR0376_frame_000089_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2565
GOPR0376_frame_000089_rgb_anon.png,night,noisy,texture_seg,0.8684
GOPR0376_frame_000089_rgb_anon.png,night,blurred,sobel_p75,0.4746
GOPR0376_frame_000089_rgb_anon.png,night,blurred,canny_proj3,0.4585
GOPR0376_frame_000089_rgb_anon.png,night,blurred,canny_proj3_preblur,0.4663
GOPR0376_frame_000089_rgb_anon.png,night,blurred,texture_seg,0.6912
GOPR0376_frame_000089_rgb_anon.png,night,lowcontrast,sobel_p75,0.8252
GOPR0376_frame_000089_rgb_anon.png,night,lowcontrast,canny_proj3,0.8455
GOPR0376_frame_000089_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8100
GOPR0376_frame_000089_rgb_anon.png,night,lowcontrast,texture_seg,0.6676
GOPR0376_frame_000157_rgb_anon.png,night,noisy,sobel_p75,0.2140
GOPR0376_frame_000157_rgb_anon.png,night,noisy,canny_proj3,0.0304
GOPR0376_frame_000157_rgb_anon.png,night,noisy,canny_proj3_preblur,0.1410
GOPR0376_frame_000157_rgb_anon.png,night,noisy,texture_seg,0.8097
GOPR0376_frame_000157_rgb_anon.png,night,blurred,sobel_p75,0.4325
GOPR0376_frame_000157_rgb_anon.png,night,blurred,canny_proj3,0.2351
GOPR0376_frame_000157_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2336
GOPR0376_frame_000157_rgb_anon.png,night,blurred,texture_seg,0.9270
GOPR0376_frame_000157_rgb_anon.png,night,lowcontrast,sobel_p75,0.7000
GOPR0376_frame_000157_rgb_anon.png,night,lowcontrast,canny_proj3,0.8360
GOPR0376_frame_000157_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.7071
GOPR0376_frame_000157_rgb_anon.png,night,lowcontrast,texture_seg,0.8453
GOPR0376_frame_000340_rgb_anon.png,night,noisy,sobel_p75,0.2529
GOPR0376_frame_000340_rgb_anon.png,night,noisy,canny_proj3,0.1625
GOPR0376_frame_000340_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3311
GOPR0376_frame_000340_rgb_anon.png,night,noisy,texture_seg,0.8719
GOPR0376_frame_000340_rgb_anon.png,night,blurred,sobel_p75,0.5413
GOPR0376_frame_000340_rgb_anon.png,night,blurred,canny_proj3,0.2400
GOPR0376_frame_000340_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2610
GOPR0376_frame_000340_rgb_anon.png,night,blurred,texture_seg,0.9255
GOPR0376_frame_000340_rgb_anon.png,night,lowcontrast,sobel_p75,0.7497
GOPR0376_frame_000340_rgb_anon.png,night,lowcontrast,canny_proj3,0.8901
GOPR0376_frame_000340_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8446
GOPR0376_frame_000340_rgb_anon.png,night,lowcontrast,texture_seg,0.9248
GOPR0376_frame_000608_rgb_anon.png,night,noisy,sobel_p75,0.2603
GOPR0376_frame_000608_rgb_anon.png,night,noisy,canny_proj3,0.1426
GOPR0376_frame_000608_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3387
GOPR0376_frame_000608_rgb_anon.png,night,noisy,texture_seg,0.7313
GOPR0376_frame_000608_rgb_anon.png,night,blurred,sobel_p75,0.5565
GOPR0376_frame_000608_rgb_anon.png,night,blurred,canny_proj3,0.3071
GOPR0376_frame_000608_rgb_anon.png,night,blurred,canny_proj3_preblur,0.3168
GOPR0376_frame_000608_rgb_anon.png,night,blurred,texture_seg,0.7096
GOPR0376_frame_000608_rgb_anon.png,night,lowcontrast,sobel_p75,0.8306
GOPR0376_frame_000608_rgb_anon.png,night,lowcontrast,canny_proj3,0.9107
GOPR0376_frame_000608_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8613
GOPR0376_frame_000608_rgb_anon.png,night,lowcontrast,texture_seg,0.7915
GOPR0376_frame_000887_rgb_anon.png,night,noisy,sobel_p75,0.2463
GOPR0376_frame_000887_rgb_anon.png,night,noisy,canny_proj3,0.1576
GOPR0376_frame_000887_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3729
GOPR0376_frame_000887_rgb_anon.png,night,noisy,texture_seg,0.4548
GOPR0376_frame_000887_rgb_anon.png,night,blurred,sobel_p75,0.5055
GOPR0376_frame_000887_rgb_anon.png,night,blurred,canny_proj3,0.2363
